period,wrk2id,wrk1id,w1,w2,e1,e2,pubwage
11,37,35,1,1,1,1,1
11,23,38,1,1,0,0,1
11,28,21,0,3,0,0,1
12,37,30,2,2,3,1,1
12,23,21,1,1,1,0,1
12,28,35,0,2,0,0,1
12,27,38,0,2,0,1,1
12,32,26,0,2,0,1,1
12,22,24,0,0,0,0,1
13,23,30,2,1,3,0,1
13,28,38,1,1,0,0,1
13,22,24,1,3,0,2,1
13,37,35,1,1,1,0,1
13,27,21,0,3,0,3,1
13,32,26,0,0,0,0,1
14,22,30,2,0,3,0,1
14,28,26,1,1,2,0,1
14,37,24,2,2,1,2,1
14,32,35,0,1,0,1,1
14,23,21,0,3,0,0,1
14,27,38,0,4,0,3,1
15,28,30,1,1,3,0,1
15,32,26,0,1,0,1,1
15,27,38,2,2,0,2,1
15,23,21,0,1,0,0,1
15,22,24,1,3,0,2,1
15,37,35,0,4,0,3,1
16,23,38,1,0,0,0,1
16,37,26,0,1,0,1,1
16,27,21,2,2,2,2,1
16,22,35,0,1,0,1,1
16,32,24,1,0,0,1,1
16,28,30,0,4,0,0,1
17,37,24,1,2,0,1,1
17,32,21,1,2,0,1,1
17,22,30,2,2,3,2,1
17,28,35,1,1,1,0,1
17,27,38,1,0,0,0,1
17,23,26,0,0,0,0,1
18,22,38,2,0,1,0,1
18,37,30,1,2,1,1,1
18,23,35,2,2,1,1,1
18,27,24,0,0,0,0,1
18,32,26,1,2,1,1,1
18,28,21,0,0,0,0,1
19,32,24,1,0,1,0,1
19,23,35,0,1,0,0,1
19,28,30,1,2,1,0,1
19,22,38,1,1,0,2,1
19,27,26,1,2,1,2,1
19,37,21,2,0,2,0,1
20,28,38,1,0,0,0,1
